Counter,Time,Bin 5,Pressure,Bin 4,PM10,SFR,Bin 8,Bin 15,Bin 6,Bin 3,Bin 2,Bin3 MToF,Bin5 MToF,Bin 9,Bin 14,Bin 12,Checksum,Sampling Period,PM1,PM2.5,Bin 7,Temperature,Bin7 MToF,Bin 1,Bin 11,Bin1 MToF,Bin 0,Bin 13,Bin 10
44,25.86955189704895,1,,2,245.27073669433594,4.476384162902832,0,0,0,13,79,8.666666666666666,13.666666666666666,0,0,0,1041,0.5045333504676819,207.58433532714844,244.60317993164062,0,,0.0,243,0,5.333333333333333,703,0,0
45,26.467743396759033,0,,0,203.76390075683594,4.41379976272583,0,0,0,8,48,6.0,0.0,0,0,0,899,0.5037866830825806,177.61521911621094,203.45730590820312,0,,0.0,198,0,5.666666666666667,645,0,0
46,27.067805767059326,1,,0,140.18173217773438,4.3831586837768555,0,0,0,7,38,8.666666666666666,8.333333333333334,0,0,0,630,0.5046826601028442,121.54975128173828,139.8144073486328,0,,0.0,103,0,5.666666666666667,481,0,0
47,27.66827654838562,0,,3,268.34954833984375,4.500833034515381,0,0,1,7,103,8.0,0.0,0,0,0,1092,0.5035520195960999,223.46966552734375,267.00250244140625,0,,0.0,279,0,5.333333333333333,699,0,0
48,28.279223203659058,0,,0,177.11331176757812,4.297153949737549,0,0,0,7,49,7.0,0.0,0,0,0,741,0.5040000081062317,152.4451904296875,176.8116912841797,0,,0.0,167,0,6.0,518,0,0
49,28.891439199447632,0,,1,193.5667724609375,4.3248677253723145,0,0,0,9,48,8.0,0.0,0,0,0,817,0.5034026503562927,166.97715759277344,193.2098846435547,0,,0.0,193,0,5.666666666666667,566,0,0
50,29.490260124206543,0,,1,133.19332885742188,4.3388590812683105,0,0,0,6,24,9.0,0.0,0,0,0,585,0.5043200254440308,116.83788299560547,132.97506713867188,0,,0.0,136,0,5.666666666666667,418,0,0
51,30.08844804763794,0,,0,139.57321166992188,4.345889091491699,0,0,1,8,25,8.333333333333334,0.0,0,0,0,623,0.5035520195960999,121.74662017822266,138.59703063964844,0,,0.0,124,0,5.666666666666667,465,0,0
52,30.68860125541687,0,,1,333.7137145996094,4.349412441253662,0,0,1,19,108,7.666666666666667,0.0,0,0,0,1341,0.5044693350791931,280.0209045410156,332.22430419921875,0,,0.0,344,0,5.666666666666667,868,0,0
53,31.297993421554565,0,,1,265.2049865722656,4.226905345916748,0,0,0,27,77,8.333333333333334,0.0,0,0,0,1064,0.5035733580589294,223.3251953125,264.50823974609375,0,,0.0,244,0,6.0,715,0,0
54,31.909565210342407,1,,1,267.5852966308594,4.288997650146484,0,0,0,16,84,7.333333333333333,9.0,0,0,0,1099,0.5048106908798218,226.62469482421875,266.8698425292969,0,,0.0,239,0,5.666666666666667,758,0,0
55,32.50898313522339,2,,1,338.7737121582031,4.198170185089111,0,0,0,15,78,7.666666666666667,9.0,0,0,0,1133,0.5038080215454102,244.3318634033203,287.8166809082031,0,,0.0,304,0,6.0,732,0,1
56,33.11974811553955,1,,0,206.16973876953125,4.274155616760254,0,0,1,10,61,6.666666666666667,5.0,0,0,0,842,0.5041066408157349,174.35829162597656,204.87391662597656,0,,0.0,187,0,5.666666666666667,582,0,0
57,33.71854114532471,0,,0,234.40528869628906,4.313188552856445,0,0,0,10,80,7.666666666666667,0.0,0,0,0,938,0.5038293600082397,197.80992126464844,233.9385528564453,0,,0.0,231,0,5.666666666666667,617,0,0
58,34.31963634490967,0,,1,357.6077880859375,4.332973480224609,0,0,0,22,125,9.0,0.0,0,0,0,1425,0.5043839812278748,299.52191162109375,356.77886962890625,0,,0.0,356,0,5.666666666666667,921,0,0
59,34.91867685317993,1,,5,286.67657470703125,4.3429341316223145,0,0,0,9,81,7.333333333333333,8.333333333333334,0,0,0,1169,0.5036159753799438,243.60586547851562,285.9122619628906,0,,0.0,309,0,5.666666666666667,764,0,0
60,35.52201819419861,0,,1,233.43502807617188,4.223844051361084,0,0,0,7,71,7.333333333333333,0.0,0,0,0,951,0.5046186447143555,199.6676483154297,232.99880981445312,0,,0.0,209,0,6.0,663,0,0
61,36.12904453277588,0,,3,319.4853820800781,4.287420749664307,0,0,0,19,113,8.333333333333334,0.0,0,0,0,1252,0.503765344619751,266.5620422363281,318.66796875,0,,0.0,312,0,5.666666666666667,805,0,0
62,36.72897434234619,0,,1,216.87448120117188,4.31993293762207,0,0,0,4,63,9.666666666666666,0.0,0,0,0,912,0.5043413043022156,186.86326599121094,216.5135955810547,0,,0.0,203,0,5.666666666666667,641,0,0
63,37.34466576576233,0,,1,169.49020385742188,4.336373805999756,0,0,0,9,47,6.333333333333333,0.0,0,0,0,726,0.5035520195960999,145.7815399169922,169.1463623046875,0,,0.0,147,0,5.666666666666667,522,0,0
64,37.94410157203674,1,,2,241.22315979003906,4.220738887786865,0,0,0,13,66,7.333333333333333,7.666666666666667,0,0,0,983,0.5051519870758057,205.574951171875,240.5708465576172,0,,0.0,226,0,6.0,675,0,0
65,38.54598069190979,1,,2,272.8496398925781,4.165204048156738,0,0,0,15,87,6.666666666666667,8.333333333333334,0,0,0,1071,0.5040000081062317,229.77108764648438,272.0759582519531,0,,0.0,242,0,6.0,724,0,0
66,39.1495566368103,1,,1,252.2463836669922,4.2570037841796875,0,0,1,11,86,7.0,13.0,0,0,0,1000,0.5045973062515259,211.00828552246094,250.79476928710938,0,,0.0,229,0,5.666666666666667,671,0,0
67,39.74780488014221,0,,1,104.62223052978516,4.30443811416626,0,0,1,9,19,7.0,0.0,0,0,0,456,0.5038293600082397,89.86184692382812,103.62164306640625,0,,0.0,92,0,5.666666666666667,334,0,0
68,40.350091218948364,1,,0,186.7566375732422,4.328553199768066,0,0,0,7,50,6.666666666666667,8.333333333333334,0,0,0,776,0.5043839812278748,160.14511108398438,186.32212829589844,0,,0.0,193,0,5.666666666666667,525,0,0
69,40.95446014404297,1,,1,316.26220703125,4.340713024139404,0,0,1,20,94,7.333333333333333,2.3333333333333335,0,0,0,1286,0.5034666657447815,266.37359619140625,314.6876220703125,0,,0.0,319,0,5.666666666666667,850,0,0
70,41.56321620941162,0,,0,397.9854431152344,4.346818447113037,0,0,3,20,127,7.666666666666667,0.0,0,0,0,1568,0.5041919946670532,331.6121826171875,394.895263671875,0,,0.0,434,0,5.666666666666667,984,0,0
71,42.161561727523804,0,,3,365.82586669921875,4.349877834320068,0,0,4,13,130,7.666666666666667,0.0,0,0,0,1395,0.5036159753799438,300.0618896484375,361.9398498535156,0,,0.0,404,0,5.666666666666667,841,0,0
72,42.77535676956177,0,,2,369.0367736816406,4.351408958435059,0,0,0,15,135,7.0,0.0,0,0,0,1450,0.5043200254440308,308.36920166015625,368.2115478515625,0,,0.0,389,0,5.666666666666667,909,0,0
73,43.373491048812866,1,,2,325.62298583984375,4.352175235748291,0,0,1,10,95,7.0,3.6666666666666665,0,0,0,1320,0.50327467918396,275.8082580566406,324.1206359863281,0,,0.0,351,0,5.666666666666667,860,0,0
74,43.97169876098633,4,,1,294.3297424316406,4.484441757202148,0,0,0,20,99,7.333333333333333,7.333333333333333,0,0,0,1203,0.5037013292312622,245.1309356689453,293.1628112792969,0,,0.0,320,0,5.333333333333333,759,0,0
75,44.56955432891846,0,,4,367.405517578125,4.417712688446045,0,0,0,14,147,7.0,0.0,0,0,0,1439,0.5037013292312622,304.4043273925781,366.4910888671875,0,,0.0,390,0,5.666666666666667,884,0,0
76,45.17121124267578,1,,1,347.8535461425781,4.385087966918945,0,0,1,23,125,7.666666666666667,5.666666666666667,0,0,0,1386,0.5048106908798218,288.6360778808594,346.1412658691406,0,,0.0,353,0,5.666666666666667,882,0,0
77,45.77322292327881,1,,2,380.6918029785156,4.368955612182617,0,0,1,19,152,7.0,9.0,0,0,0,1447,0.5040426850318909,312.2332458496094,378.8673400878906,0,,0.0,414,0,5.666666666666667,858,0,0
78,46.375547647476196,0,,3,490.5448303222656,4.360933780670166,0,0,1,33,195,7.333333333333333,0.0,0,0,0,1826,0.5046399831771851,400.1092834472656,488.46307373046875,0,,0.0,571,0,5.666666666666667,1023,0,0
