Counter,Time,SFR,Bin 6,Bin 11,Bin 1,Bin 7,Bin 5,Bin 15,Bin7 MToF,Bin 12,Bin1 MToF,Bin5 MToF,Bin 2,Pressure,PM1,Temperature,Bin 14,Sampling Period,Bin3 MToF,Bin 3,Bin 13,Bin 8,PM10,Bin 4,Bin 10,PM2.5,Bin 9,Bin 0,Checksum
44,25.841739892959595,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5034666657447815,0.0,0,0,0,0.0,0,0,0.0,0,0,0
45,26.441710233688354,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5042773485183716,0.0,0,0,0,0.0,0,0,0.0,0,0,0
46,27.039984941482544,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5035093426704407,0.0,0,0,0,0.0,0,0,0.0,0,0,0
47,27.639897108078003,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5041919946670532,0.0,0,0,0,0.0,0,0,0.0,0,0,0
48,28.248204708099365,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5035733580589294,0.0,0,0,0,0.0,0,0,0.0,0,0,0
49,28.847071647644043,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5042986869812012,0.0,0,0,0,0.0,0,0,0.0,0,0,0
50,29.445443630218506,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5034666657447815,0.0,0,0,0,0.0,0,0,0.0,0,0,0
51,30.04533052444458,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5041706562042236,0.0,0,0,0,0.0,0,0,0.0,0,0,0
52,30.653592824935913,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5033386945724487,0.0,0,0,0,0.0,0,0,0.0,0,0,0
53,31.252456188201904,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5042986869812012,0.0,0,0,0,0.0,0,0,0.0,0,0,0
54,31.85110831260681,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5039786696434021,0.0,0,0,0,0.0,0,0,0.0,0,0,0
55,32.456275939941406,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.503658652305603,0.0,0,0,0,0.0,0,0,0.0,0,0,0
56,33.05485272407532,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5034666657447815,0.0,0,0,0,0.0,0,0,0.0,0,0,0
57,33.658010721206665,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5043200254440308,0.0,0,0,0,0.0,0,0,0.0,0,0,0
58,34.257224321365356,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.503658652305603,0.0,0,0,0,0.0,0,0,0.0,0,0,0
59,34.86042404174805,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5046613216400146,0.0,0,0,0,0.0,0,0,0.0,0,0,0
60,35.45899820327759,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5040426850318909,0.0,0,0,0,0.0,0,0,0.0,0,0,0
61,36.0597722530365,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5046613216400146,0.0,0,0,0,0.0,0,0,0.0,0,0,0
62,36.65780973434448,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5032960176467896,0.0,0,0,0,0.0,0,0,0.0,0,0,0
63,37.25775480270386,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5041279792785645,0.0,0,0,0,0.0,0,0,0.0,0,0,0
64,37.8577926158905,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5039146542549133,0.0,0,0,0,0.0,0,0,0.0,0,0,0
65,38.45771670341492,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5045760273933411,0.0,0,0,0,0.0,0,0,0.0,0,0,0
66,39.055970907211304,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.3881811499595642,,0,0.503765344619751,0.0,0,0,0,0.3992692828178406,0,0,0.3992622494697571,0,2,2
67,39.66092348098755,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5043839812278748,0.0,0,0,0,0.0,0,0,0.0,0,0,0
68,40.26033687591553,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5034239888191223,0.0,0,0,0,0.0,0,0,0.0,0,0,0
69,40.85908246040344,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.50408536195755,0.0,0,0,0,0.0,0,0,0.0,0,0,0
70,41.45882439613342,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5033813118934631,0.0,0,0,0,0.0,0,0,0.0,0,0,0
71,42.063894748687744,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5041919946670532,0.0,0,0,0,0.0,0,0,0.0,0,0,0
72,42.6759672164917,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.19422218203544617,,0,0.5034239888191223,0.0,0,0,0,0.1997700035572052,0,0,0.19976648688316345,0,1,1
73,43.274816036224365,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5041919946670532,0.0,0,0,0,0.0,0,0,0.0,0,0,0
74,43.8729522228241,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5031253099441528,0.0,0,0,0,0.0,0,0,0.0,0,0,0
75,44.47256946563721,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5051093101501465,0.0,0,0,0,0.0,0,0,0.0,0,0,0
76,45.074182987213135,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5037440061569214,0.0,0,0,0,0.0,0,0,0.0,0,0,0
77,45.67606544494629,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5038719773292542,0.0,0,0,0,0.0,0,0,0.0,0,0,0
78,46.282018423080444,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.19429627060890198,,0,0.5032320022583008,0.0,0,0,0,0.19984620809555054,0,0,0.1998426914215088,0,1,1
79,46.88148880004883,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5045546889305115,0.0,0,0,0,0.0,0,0,0.0,0,0,0
80,47.49181818962097,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5033813118934631,0.0,0,0,0,0.0,0,0,0.0,0,0,0
81,48.0906035900116,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5041066408157349,0.0,0,0,0,0.0,0,0,0.0,0,0,0
