time,counter,Bin 10,Bin 13,Bin5 MToF,Bin 9,Bin 12,Bin 15,Bin 14,Pressure,Bin 8,Bin 7,SFR,PM2.5,PM10,Bin 2,Bin 3,Checksum,Bin7 MToF,Bin 5,Bin 4,Bin 11,Sampling Period,Bin1 MToF,Bin 1,Bin 6,PM1,Temperature,Bin 0,Bin3 MToF
682.5759773254395,1133,0,0,0.0,0,0,0,0,,0,0,3.8742642402648926,70.51171112060547,84.36881256103516,4,4,258,0.0,0,1,0,0.5044693350791931,6.333333333333333,47,16,51.8331184387207,,186,8.0
683.1768066883087,1134,0,0,0.0,0,0,0,0,,0,0,3.8819162845611572,72.16645812988281,83.42655944824219,11,3,272,0.0,0,1,0,0.5050879716873169,6.333333333333333,36,13,54.79383850097656,,208,6.0
683.78102850914,1135,0,0,0.0,0,0,0,0,,0,0,3.8104541301727295,65.42125701904297,73.2862777709961,12,1,245,0.0,0,0,0,0.5088426470756531,6.666666666666667,37,9,51.61265563964844,,186,7.0
684.3857462406158,1136,0,0,0.0,0,0,0,0,,0,0,3.7720937728881836,69.24051666259766,86.82085418701172,8,1,240,0.0,0,1,0,0.5089706778526306,6.666666666666667,31,20,47.56547927856445,,179,7.0
684.984256029129,1137,0,0,23.333333333333332,0,0,0,0,,0,0,3.818721055984497,89.59972381591797,109.09132385253906,17,2,308,0.0,1,1,0,0.5036799907684326,6.333333333333333,38,22,62.53380584716797,,227,8.0
685.5846028327942,1138,0,0,0.0,0,0,0,0,,0,2,3.8458709716796875,79.39815521240234,100.2169418334961,11,4,290,10.666666666666666,0,1,0,0.5047680139541626,6.333333333333333,34,16,57.5084342956543,,222,11.0
686.1851332187653,1139,0,0,6.666666666666667,0,0,0,0,,0,1,3.9718263149261475,83.49873352050781,102.22587585449219,9,2,304,13.0,2,0,0,0.5049386620521545,6.0,58,18,60.68550109863281,,214,7.0
686.785749912262,1140,0,0,12.0,0,0,0,0,,0,0,3.9397170543670654,76.39590454101562,91.96680450439453,5,0,291,0.0,2,2,0,0.5049600005149841,6.333333333333333,42,18,56.0352783203125,,222,0.0
687.3859076499939,1141,0,0,7.333333333333333,0,0,0,0,,0,0,4.014094352722168,84.38215637207031,101.43663787841797,10,2,316,0.0,3,0,0,0.5048106908798218,6.0,48,20,60.858219146728516,,233,5.0
687.9849078655243,1142,0,0,14.333333333333334,0,0,0,0,,0,1,4.055627822875977,94.74332427978516,118.01216888427734,17,3,346,11.0,1,1,0,0.5034880042076111,6.0,46,24,66.10638427734375,,253,8.0
688.582850933075,1143,0,0,5.666666666666667,0,0,0,0,,0,0,4.078291416168213,94.51042938232422,118.49258422851562,15,6,342,0.0,1,0,0,0.5035520195960999,6.0,42,29,63.44160842895508,,249,7.0
689.1843211650848,1144,0,0,11.0,0,0,0,0,,0,0,4.093619346618652,87.70260620117188,104.5322265625,10,2,338,0.0,4,1,0,0.5067306756973267,6.0,53,20,63.67409896850586,,248,8.0
689.7852673530579,1145,0,0,7.333333333333333,0,0,0,0,,0,0,4.101284027099609,99.25560760498047,121.20304107666016,19,3,362,0.0,5,2,0,0.5047253370285034,6.0,47,26,67.72819519042969,,260,4.666666666666667
690.3853335380554,1146,0,0,12.0,0,0,0,0,,0,0,4.019964694976807,93.07123565673828,107.79953002929688,21,4,355,0.0,4,0,0,0.5056426525115967,6.333333333333333,37,17,68.59833526611328,,272,8.333333333333334
690.9854667186737,1147,0,0,6.666666666666667,0,0,0,0,,0,1,4.0634565353393555,101.04000854492188,119.3816909790039,19,3,388,10.333333333333334,2,0,0,0.5053866505622864,6.0,56,18,75.71912384033203,,289,8.0
691.5863356590271,1148,0,0,12.666666666666666,0,0,0,0,,0,0,3.987579345703125,107.69619750976562,129.88900756835938,18,2,401,0.0,3,1,0,0.5059199929237366,6.333333333333333,47,26,76.77245330810547,,304,8.333333333333334
692.1948115825653,1149,0,0,11.0,0,0,0,0,,0,0,3.9406113624572754,109.7396469116211,127.79561614990234,24,2,396,0.0,1,2,0,0.5053013563156128,6.333333333333333,60,21,80.7112808227539,,286,7.666666666666667
692.8025104999542,1150,0,0,12.666666666666666,0,0,0,0,,0,0,3.733487844467163,115.8940200805664,140.044189453125,23,5,392,0.0,2,0,0,0.5125973224639893,7.0,53,27,80.94173431396484,,282,8.666666666666666
693.4225580692291,1151,0,0,11.0,0,0,0,0,,0,0,3.7166686058044434,112.58592987060547,130.27789306640625,26,5,390,0.0,2,0,0,0.5246293544769287,6.666666666666667,65,20,82.42535400390625,,272,8.0
694.0229921340942,1152,0,0,11.666666666666666,0,0,0,0,,0,0,3.876049757003784,94.97123718261719,113.2496566772461,15,4,345,0.0,1,1,0,0.5059626698493958,6.0,45,21,68.73128509521484,,258,7.0
694.6214900016785,1153,0,0,10.0,0,0,0,0,,0,0,3.80055570602417,91.04359436035156,107.27763366699219,14,5,325,0.0,2,1,0,0.5041066408157349,6.666666666666667,43,18,66.39275360107422,,242,5.666666666666667
695.22212266922,1154,0,0,6.666666666666667,0,0,0,0,,0,0,3.8441555500030518,112.27203369140625,134.45408630371094,17,6,401,0.0,3,0,0,0.5055786371231079,6.333333333333333,53,25,80.30037689208984,,297,8.333333333333334
695.8214499950409,1155,0,0,19.0,0,0,0,0,,0,0,3.770700693130493,103.0066146850586,123.63646697998047,11,4,359,0.0,1,2,0,0.5045546889305115,6.666666666666667,60,23,74.2481918334961,,258,6.333333333333333
696.4231195449829,1156,0,0,3.0,0,0,0,0,,0,0,3.827291488647461,106.72126007080078,120.05860137939453,17,7,406,0.0,1,1,0,0.5067520141601562,6.333333333333333,52,15,83.06339263916016,,313,6.333333333333333
697.0230622291565,1157,0,0,9.0,0,0,0,0,,0,0,3.8607194423675537,110.10729217529297,132.03884887695312,14,9,391,0.0,1,2,0,0.5049386620521545,6.333333333333333,60,25,78.36248779296875,,280,8.333333333333334
697.6365032196045,1158,0,0,8.666666666666666,0,0,0,0,,0,0,3.8759379386901855,104.80110931396484,128.31190490722656,14,4,375,0.0,2,2,0,0.5076693296432495,6.333333333333333,49,27,73.10350036621094,,277,9.0
698.2351515293121,1159,0,0,12.666666666666666,0,0,0,0,,0,1,3.78592586517334,113.78608703613281,135.4668426513672,19,2,392,11.0,3,1,0,0.5038293600082397,6.666666666666667,70,20,83.61880493164062,,276,7.333333333333333
698.8359169960022,1160,0,0,13.666666666666666,0,0,0,0,,0,0,3.7439515590667725,105.23619079589844,120.72814178466797,17,2,378,0.0,2,0,0,0.5053013563156128,6.666666666666667,56,17,80.28844451904297,,284,9.333333333333334
699.4370784759521,1161,0,0,4.666666666666667,0,0,0,0,,0,0,3.635333776473999,113.80398559570312,130.8828887939453,17,5,398,0.0,3,1,0,0.505898654460907,7.0,55,18,85.73760986328125,,299,9.0
700.0367684364319,1162,0,0,13.666666666666666,0,0,0,0,,0,0,3.667382001876831,121.27836608886719,137.17617797851562,17,5,428,0.0,2,1,0,0.5053013563156128,6.666666666666667,72,17,93.64127349853516,,314,6.333333333333333
700.6372871398926,1163,0,0,9.666666666666666,0,0,0,0,,0,1,3.6836190223693848,125.38186645507812,154.8277587890625,22,4,408,11.0,3,0,0,0.5050666928291321,6.666666666666667,63,28,87.10065460205078,,287,8.0
701.2374315261841,1164,0,0,17.0,0,0,0,0,,0,0,3.691791296005249,105.86248779296875,116.10356903076172,16,4,374,0.0,1,1,0,0.5046613216400146,6.666666666666667,77,11,84.36323547363281,,264,7.333333333333333
