Counter,Time,Bin1 MToF,PM10,Bin 4,Bin 11,Bin 10,Bin 0,Bin 14,PM1,Sampling Period,Bin 15,Bin5 MToF,Bin 5,Bin 3,Checksum,Bin 8,Bin7 MToF,Bin 13,Pressure,Bin 7,Bin 9,Bin 12,Temperature,Bin 1,Bin 2,Bin 6,PM2.5,Bin3 MToF,SFR
49,29.21826672554016,0.0,0.0,0,0,0,0,0,0.0,0.5038719773292542,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
50,29.818265199661255,0.0,0.0,0,0,0,0,0,0.0,0.5045546889305115,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
51,30.420332193374634,0.0,0.0,0,0,0,0,0,0.0,0.5038933157920837,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
52,31.022697687149048,0.0,0.6901083588600159,0,0,0,0,0,0.4048968255519867,0.5045333504676819,0,0.0,0,0,1,0,0.0,0,,0,0,0,,0,1,0,0.6855660676956177,0.0,3.700000047683716
53,31.62483835220337,0.0,0.0,0,0,0,0,0,0.0,0.5039359927177429,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
54,32.225717306137085,0.0,0.0,0,0,0,0,0,0.0,0.5041706562042236,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
55,32.83023762702942,0.0,0.0,0,0,0,0,0,0.0,0.5033813118934631,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
56,33.428725481033325,0.0,0.0,0,0,0,0,0,0.0,0.5039359927177429,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
57,34.038591146469116,0.0,0.0,0,0,0,0,0,0.0,0.5033599734306335,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
58,34.63721489906311,0.0,0.0,0,0,0,0,0,0.0,0.5040213465690613,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
59,35.23725748062134,0.0,0.0,0,0,0,0,0,0.0,0.5039146542549133,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
60,35.837263345718384,0.0,0.0,0,0,0,0,0,0.0,0.5046826601028442,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
61,36.43953227996826,0.0,0.0,0,0,0,0,0,0.0,0.5038933157920837,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
62,37.041937828063965,0.0,0.0,0,0,0,0,0,0.0,0.5046186447143555,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
