Counter,Time,Bin 15,Bin 10,Bin 6,Bin 7,Bin 13,Bin 3,Checksum,Bin 0,Bin5 MToF,PM10,Bin 1,Bin 12,Bin 11,PM2.5,Bin 2,Pressure,Bin3 MToF,Temperature,Bin1 MToF,Bin 8,Bin 14,Sampling Period,SFR,Bin 4,Bin 9,Bin 5,PM1,Bin7 MToF
42,24.680922985076904,0,0,0,0,0,6,983,695,7.333333333333333,223.11154174804688,219,0,0,222.50546264648438,60,,6.666666666666667,,5.333333333333333,0,0,0.5041279792785645,4.484795093536377,1,0,2,192.4045867919922,0.0
43,25.279320240020752,0,0,0,0,0,4,675,503,15.666666666666666,155.7142791748047,126,0,0,155.32618713378906,40,,7.333333333333333,,6.0,0,0,0.5035093426704407,4.289830684661865,1,0,1,135.20944213867188,0.0
44,25.879374742507935,0,0,1,0,0,2,711,533,9.0,163.42417907714844,131,0,0,162.3125762939453,43,,6.0,,5.666666666666667,0,0,0.5042986869812012,4.321155548095703,0,0,1,141.2179718017578,0.0
45,26.47935175895691,0,0,2,0,0,6,792,570,8.333333333333334,185.5886688232422,168,0,0,183.65347290039062,45,,7.666666666666667,,5.666666666666667,0,0,0.5040000081062317,4.336989879608154,0,0,1,158.54815673828125,0.0
46,27.078672647476196,0,0,1,0,0,2,766,584,0.0,175.099365234375,145,0,0,174.12428283691406,34,,8.0,,6.0,0,0,0.5040640234947205,4.221031188964844,0,0,0,154.175048828125,0.0
47,27.677295923233032,0,0,0,0,0,6,951,674,0.0,225.15321350097656,214,0,0,224.82159423828125,57,,7.0,,5.666666666666667,0,0,0.5034026503562927,4.285971641540527,0,0,0,195.45843505859375,0.0
48,28.27583885192871,0,0,1,0,0,8,1144,820,6.333333333333333,269.5151672363281,240,0,0,268.16461181640625,73,,6.333333333333333,,5.666666666666667,0,0,0.5039573311805725,4.319196701049805,1,0,1,231.3822784423828,0.0
49,28.8742778301239,0,0,2,0,0,5,840,601,4.666666666666667,197.1089324951172,184,0,0,195.01895141601562,45,,6.666666666666667,,5.666666666666667,0,0,0.5034239888191223,4.336003303527832,1,0,2,168.45335388183594,0.0
50,29.47328209877014,0,0,0,0,0,10,1229,846,0.0,294.99127197265625,282,0,0,294.4762878417969,91,,7.666666666666667,,5.666666666666667,0,0,0.5043413043022156,4.344455242156982,0,0,0,252.34291076660156,0.0
51,30.07173442840576,0,0,1,0,0,10,1194,810,0.0,298.91314697265625,281,0,0,297.5602111816406,91,,7.666666666666667,,6.0,0,0,0.5038293600082397,4.2245635986328125,1,0,0,253.41531372070312,0.0
52,30.671717643737793,0,0,0,0,0,7,1058,732,7.666666666666667,255.5050506591797,245,0,0,254.96658325195312,73,,7.333333333333333,,5.666666666666667,0,0,0.5044693350791931,4.287791728973389,0,0,1,219.3096923828125,0.0
53,31.28514814376831,0,0,0,0,0,14,1087,764,0.0,259.65966796875,228,0,0,259.0855407714844,79,,6.666666666666667,,5.666666666666667,0,0,0.5038719773292542,4.320120811462402,2,0,0,221.35504150390625,0.0
54,31.884934186935425,0,0,0,1,0,8,1056,761,5.666666666666667,245.3743896484375,233,0,0,241.87924194335938,52,,7.333333333333333,,5.666666666666667,0,0,0.5044266581535339,4.336468696594238,0,0,1,211.13999938964844,9.666666666666666
55,32.484050989151,0,0,3,0,0,9,1117,777,0.0,267.3050842285156,258,0,0,264.5536804199219,69,,6.666666666666667,,5.666666666666667,0,0,0.5033599734306335,4.34468936920166,1,0,0,226.9704132080078,0.0
56,33.08308935165405,0,0,3,0,0,8,1003,699,0.0,241.8445281982422,222,0,0,239.14328002929688,71,,6.333333333333333,,5.666666666666667,0,0,0.504149317741394,4.348811626434326,0,0,0,203.8378143310547,0.0
57,33.681432247161865,0,0,3,0,0,7,893,646,0.0,209.46470642089844,182,0,0,206.78244018554688,53,,7.666666666666667,,5.666666666666667,0,0,0.5035093426704407,4.350875377655029,2,0,0,177.7182159423828,0.0
58,34.28030586242676,0,0,1,0,0,10,989,705,0.0,236.8816680908203,216,0,0,235.7122039794922,57,,6.666666666666667,,6.0,0,0,0.5042133331298828,4.227596282958984,0,0,0,204.1584014892578,0.0
59,34.878692865371704,0,0,4,0,0,17,1210,813,3.6666666666666665,292.3780517578125,291,0,0,288.6469421386719,83,,6.666666666666667,,5.333333333333333,0,0,0.5035733580589294,4.4173784255981445,1,0,1,243.8570098876953,0.0
60,35.47753834724426,0,0,2,0,0,6,1005,724,12.333333333333334,232.96084594726562,211,0,0,230.97901916503906,61,,7.0,,5.666666666666667,0,0,0.5043626427650452,4.384922981262207,0,0,1,199.49232482910156,0.0
61,36.0757851600647,0,0,3,0,0,3,1091,765,5.333333333333333,251.88235473632812,248,0,0,249.05018615722656,69,,7.333333333333333,,5.333333333333333,0,0,0.5035946369171143,4.501762866973877,1,0,2,213.74990844726562,0.0
62,36.67610216140747,0,0,1,0,0,7,1184,825,0.0,277.6294860839844,266,0,0,276.4013366699219,84,,7.0,,5.666666666666667,0,0,0.5043200254440308,4.4261016845703125,1,0,0,237.2356719970703,0.0
63,37.27431583404541,0,0,0,1,0,15,1430,891,0.0,354.8234558105469,388,0,0,351.1213684082031,133,,6.666666666666667,,5.333333333333333,0,0,0.5035306811332703,4.523365497589111,2,0,0,293.30987548828125,11.0
64,37.87440776824951,0,0,0,0,0,15,1382,889,7.0,341.34881591796875,347,0,0,340.3294372558594,127,,7.666666666666667,,5.666666666666667,0,0,0.5044266581535339,4.436517238616943,2,0,2,284.9018249511719,0.0
