Counter,Time,PM2.5,Bin 11,Bin5 MToF,PM1,Bin 8,Temperature,SFR,Bin1 MToF,Bin 3,Bin 14,PM10,Checksum,Bin 13,Bin 2,Bin 10,Pressure,Sampling Period,Bin 6,Bin 4,Bin 12,Bin7 MToF,Bin 9,Bin 7,Bin 1,Bin 15,Bin 5,Bin 0,Bin3 MToF
285,170.50084829330444,851.9178466796875,0,10.333333333333334,632.0408325195312,0,,4.568120956420898,5.333333333333333,130,0,856.9340209960938,2658,0,585,0,,0.5034666657447815,1,14,0,0.0,0,0,1091,0,1,836,7.0
286,171.09953665733337,955.0496215820312,0,6.0,691.8440551757812,0,,4.457935810089111,5.666666666666667,178,0,962.8182983398438,2824,0,691,0,,0.5045760273933411,3,17,0,0.0,0,0,1124,0,2,809,7.666666666666667
287,171.69828939437866,895.1430053710938,0,9.0,653.8011474609375,0,,4.539931297302246,5.333333333333333,153,0,902.9893798828125,2727,0,639,0,,0.5042133331298828,4,19,0,0.0,0,0,1098,0,1,813,7.666666666666667
288,172.29886865615845,918.6221923828125,0,6.666666666666667,664.2977294921875,0,,4.582070350646973,5.333333333333333,155,0,924.60107421875,2773,0,733,0,,0.5055573582649231,1,9,0,0.0,0,0,1045,0,4,826,7.666666666666667
289,172.89777779579163,899.6571655273438,0,8.666666666666666,658.272705078125,0,,4.603435039520264,5.333333333333333,151,0,908.32763671875,2783,0,646,0,,0.5042773485183716,5,14,0,0.0,0,0,1130,0,4,833,7.333333333333333
290,173.49883794784546,953.3766479492188,0,10.666666666666666,695.4265747070312,0,,4.614192008972168,5.333333333333333,171,0,959.5396118164062,2918,0,699,0,,0.5060480237007141,1,14,0,0.0,0,0,1236,0,4,793,7.333333333333333
291,174.0986533164978,969.87255859375,0,4.333333333333333,701.5895385742188,0,,4.479760646820068,5.666666666666667,186,0,975.6189575195312,2877,0,713,0,,0.5044693350791931,0,23,0,0.0,0,0,1134,0,1,820,7.333333333333333
292,174.69919681549072,1027.4490966796875,0,11.666666666666666,739.210693359375,0,,4.415440082550049,5.666666666666667,174,0,1034.9844970703125,2948,0,778,0,,0.5056639909744263,2,22,0,0.0,0,0,1184,0,2,786,7.666666666666667
293,175.29819560050964,956.888916015625,0,10.0,696.1193237304688,0,,4.383967876434326,5.666666666666667,161,0,963.8731689453125,2793,0,684,0,,0.5043839812278748,2,15,0,0.0,0,0,1102,0,3,826,8.0
294,175.8986201286316,945.2078857421875,0,11.0,694.2594604492188,0,,4.368399143218994,5.666666666666667,146,0,951.7510375976562,2784,0,650,0,,0.5055573582649231,2,14,0,0.0,0,0,1134,0,2,836,7.666666666666667
295,176.4975197315216,917.11083984375,0,9.0,673.1643676757812,0,,4.493039131164551,5.333333333333333,152,0,922.0404052734375,2773,0,649,0,,0.5042986869812012,0,17,0,0.0,0,0,1122,0,1,832,7.666666666666667
296,177.09936594963074,940.4530029296875,0,7.0,689.076171875,0,,4.421880722045898,5.666666666666667,139,0,948.4583740234375,2816,0,674,0,,0.5054933428764343,4,15,0,0.0,0,0,1079,0,2,903,7.666666666666667
